node1,node2,hsa_id_node1,hsa_id_node2,coexpression_score
DUSP1,FOSB,hsa:1843,hsa:2354,507
DUSP1,EGR1,hsa:1843,hsa:1958,437
DUSP1,FOS,hsa:1843,hsa:2353 hsa:3725 hsa:6667,782
DUSP1,JUN,hsa:1843,hsa:3725 hsa:5599 hsa:5601 hsa:5602,456
EGR1,JUN,hsa:1958,hsa:3725 hsa:5599 hsa:5601 hsa:5602,770
EGR1,NR4A1,hsa:1958,hsa:3164,477
EGR1,FOS,hsa:1958,hsa:2353 hsa:3725 hsa:6667,780
EGR1,FOSB,hsa:1958,hsa:2354,777
FOSB,JUN,hsa:2354,hsa:3725 hsa:5599 hsa:5601 hsa:5602,765
FOSB,NR4A1,hsa:2354,hsa:3164,594
FOS,FOSB,hsa:2353 hsa:3725 hsa:6667,hsa:2354,783
IL1A,IL1B,hsa:3552,hsa:3553,711
IL1B,IL6,hsa:3553,hsa:3569,426
IL1B,TNF,hsa:3553,hsa:7124,478
IL1B,PTGS2,hsa:3553,hsa:5743,631
IL1B,TNFAIP3,hsa:3553,hsa:7128,419
CXCL8,IL1B,hsa:3576,hsa:3553,759
PIK3CA,SOS1,hsa:5290 hsa:5291 hsa:5293,hsa:6654 hsa:6655,611
ICAM1,TNFAIP3,hsa:3383,hsa:7128,419
FOS,JUN,hsa:2353 hsa:3725 hsa:6667,hsa:3725 hsa:5599 hsa:5601 hsa:5602,625
FOS,NR4A1,hsa:2353 hsa:3725 hsa:6667,hsa:3164,429
CXCL8,PTGS2,hsa:3576,hsa:5743,764
CXCL8,TNFAIP3,hsa:3576,hsa:7128,490
CXCL8,IL6,hsa:3576,hsa:3569,418
IL6,PTGS2,hsa:3569,hsa:5743,425
MAP3K4,SOS1,hsa:4216,hsa:6654 hsa:6655,457
BTK,CSF2RB,hsa:695 hsa:7006,hsa:1439 hsa:149233 hsa:2057 hsa:3454 hsa:3455 hsa:3459 hsa:3460 hsa:3559 hsa:3560 hsa:3561 hsa:3563 hsa:3566 hsa:3568 hsa:3570 hsa:3572 hsa:3575 hsa:3594 hsa:3595 hsa:3597 hsa:3601,422
TNF,TNFAIP3,hsa:7124,hsa:7128,419
